作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
荖花(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
蜂蜜(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
紅甘蔗(元/公斤),2017年,11.17,11.1,11.89,11.89,10.23,10.27,10.23,10.27,9.51,11.02,-,-,
芝麻(黑省產)(元/公斤),2017年,239.4,296.67,294.33,300,266.65,266.27,265,265,265,260,-,-,
紅茶(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
綠茶(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
文心蘭(元/支),2017年,6.9,7.48,8.2,9.02,7.7,4.84,6.61,6.46,4.65,3.47,-,-,
菊花(大菊)(元/支),2017年,7.04,8.53,7.07,6.95,6.03,6.67,9.67,8.67,8.74,7.63,-,-,
菊(多花小菊)(元/支),2017年,4.95,4.03,3,3.68,4.33,5.67,8.67,7.83,8.69,6.73,-,-,
玫瑰(黛安娜)(元/支),2017年,5.4,6.56,5.84,3.69,5.03,4.77,4.08,5.34,5.27,6.27,-,-,
火鶴(紅)(元/支),2017年,11.25,12.25,10.25,8.99,7.21,8.71,10.58,9.87,9.38,10.16,-,-,
非洲菊(元/支),2017年,4.65,3.59,2.51,2.59,2.58,4.73,7.08,4.14,6.32,6.86,-,-,
滿天星(元/ 把),2017年,49,54.67,48.33,52.33,93.17,96.5,108.5,72.33,54.67,76.50,-,-,
卡斯比亞(元/把),2017年,60,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)大輪(元/支),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)中康(元/支),2017年,3.84,4.4,3.04,3.16,3.92,3.38,4.39,3.92,5.02,4.56,-,-,
天堂鳥(元/支),2017年,11,12.67,9.33,9.33,7.33,7.67,9.33,5.67,8,9,-,-,
夜來香(元/支),2017年,3.75,6.17,3.58,2.83,2,3.5,3.83,4,5.50,4.83,-,-,
