作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
李(玉李)(元/公斤),2003年,-,-,-,-,-,-,-,-,-,-,-,-,
李(紅肉)(元/公斤),2003年,-,-,-,-,22.40,33.01,20.60,-,-,-,-,-,
鶯歌桃(元/公斤),2003年,-,-,-,71.53,41.31,52.80,-,-,-,-,-,-,
甜桃(元/公斤),2003年,-,-,-,-,-,53,126.42,129.44,-,-,-,-,
水蜜桃(元/公斤),2003年,-,-,-,-,-,-,-,-,9.67,12.50,13.83,-,
牛心柿(元/公斤),2003年,-,-,-,-,-,-,-,-,65,73.05,79.45,86.79,
甜柿(元/公斤),2003年,-,-,-,-,-,-,-,22.28,15.88,17.26,17,-,
紅柿(軟柿)(元/公斤),2003年,-,-,27.93,22.41,22.92,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2003年,-,-,-,-,-,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2003年,-,-,-,-,-,22,19.33,16.88,11.15,14.47,-,-,
橫山梨(元/公斤),2003年,-,-,-,-,93.37,60.13,83.50,54.75,49.17,45.83,45,-,
新世紀梨(元/公斤),2003年,-,-,-,-,85.03,54.64,44.49,51.67,50,-,-,-,
豐水梨(元/公斤),2003年,-,-,-,-,-,57.50,-,-,-,-,-,-,
幸水梨(元/公斤),2003年,-,-,-,-,-,55.33,38.95,38.53,49.62,48.32,-,-,
新興梨(元/公斤),2003年,43.86,46.11,52.33,86.33,75.78,57.67,42.73,41.72,52.94,65.78,58.32,51.51,
巨峰葡萄(元/公斤),2003年,34.90,37.83,36.93,35.15,33.56,32.39,29.18,27.55,25.20,23.58,35.26,37.19,
落花生(帶殼)(元/公斤),2003年,43.04,43.70,43.21,-,-,-,-,-,-,-,-,48.63,
紅豆(中等)(元/公斤),2003年,86,86,86.33,87.33,90.33,94.33,91,92,90,90,90,-,
綠豆(省產)(元/公斤),2003年,8.49,8.62,8,8.22,8.02,8.65,7.46,7.70,7.56,7.92,8.39,8.18,
甘藷(元/公斤),2003年,145.67,155.33,158.83,187.84,165.12,139.67,131.78,121.11,127.15,142.56,186.63,174.67,
烏龍茶菁(手)(元/公斤),2003年,-,-,140,95.65,86.57,52.26,63.81,53,25.67,72.52,73.33,-,
烏龍茶菁(機)(元/公斤),2003年,128.67,123.33,115.86,129.87,109.41,89.39,90.22,80.44,94.07,94.02,131.34,128.50,
金萱茶菁(手)(元/公斤),2003年,-,-,58.89,55,47.19,35.81,35.44,24.07,13.17,38.04,41.18,-,
金萱茶菁(機)(元/公斤),2003年,-,-,-,-,335,302.50,302.50,286.42,277.92,278.61,-,-,
蓮子(脫殼)(元/公斤),2003年,8.03,8.05,5.88,6.09,6.11,6.22,6.39,6.82,7.75,7.78,7.94,7.63,
紅甘蔗(元/公斤),2003年,137.03,134.08,138.92,142.75,141.56,144.11,131.77,132.03,132.28,131.92,140.59,134.86,
芝麻(黑省產)(元/公斤),2003年,8.63,9.74,7.18,6.81,5.48,6.13,6.03,5.25,4.42,5.82,6.23,6.37,
文心蘭(元/支),2003年,3.35,3.52,4.11,2.95,2.14,2.30,3.12,4.20,3.38,3.35,3.67,3.74,
菊花(大菊)(元/支),2003年,4.95,5.65,4.83,2.45,2.09,3.15,2.60,3.58,3.07,3.86,3.29,4.88,
玫瑰(黛安娜)(元/支),2003年,10.02,10.97,8.72,7.28,6.17,6.40,8.62,8.37,9.81,9.24,9.77,12.38,
火鶴(紅)(元/支),2003年,3.28,2.68,2.43,3,2.12,3.62,3.78,2.87,2.80,3.82,2.85,4.47,
非洲菊(元/支),2003年,51.66,51.44,33.33,38.89,31,38.44,43,49.11,49.67,56,54.67,80.56,
滿天星(元/ 把),2003年,-,-,-,-,-,-,-,-,-,-,-,-,
卡斯比亞(元/把),2003年,3.06,2.87,2.78,2.06,2.36,2.11,1.92,1.46,1.53,1.65,1.97,2.59,
香石竹(康乃馨)大輪(元/支),2003年,-,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)中康(元/支),2003年,10,8.89,4.89,3.67,4.49,4.60,4.72,4.26,5.30,6.72,7.57,8.17,
天堂鳥(元/支),2003年,4.11,4.17,3.55,3,2.58,2.92,3.05,2.88,2.87,3.25,3.67,3.40,
夜來香(元/支),2003年,4.03,3.75,3.85,3.24,4.49,5.17,4.82,5.32,4.61,5.34,5.06,5.23,
唐菖蒲(劍蘭)(元/支),2003年,9,-,17,-,-,20.33,20.33,24,22.33,41.67,37,29.67,
葵百合(紅)(元/支),2003年,8.83,6.33,10,-,-,-,-,-,-,-,-,-,
姬百合(橙)(元/支),2003年,23.08,23.92,26.17,19.08,15.83,20.64,31.83,34.17,40.17,43.17,39.50,37.78,
香水百合(白)(元/支),2003年,-,-,-,-,-,-,-,-,-,-,-,-,
香水百合(黃)(元/支),2003年,-,-,-,-,-,-,-,-,-,-,-,-,
聖誕紅(元/盆),2002年,2.79,2.82,3.44,11,10.38,10.96,10.33,13.33,9.64,7,8.17,6.36,
蘿蔔(元/公斤),2002年,9.11,5.87,4.47,6.44,6.67,6.67,-,-,-,-,-,10,
胡蘿蔔(元/公斤),2002年,38.33,35,25.11,23,20,-,-,-,-,-,-,-,
牛蒡(元/公斤),2002年,29.67,-,-,-,48.11,35.11,27.89,24.39,24.50,27.29,27.67,30.67,
生薑(嫩薑)(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
生薑(老薑粉薑)(元/公斤),2002年,22.50,25.78,30.33,16,16.67,19,19.67,17.17,18.08,17.58,16.55,15.89,
芋頭(元/公斤),2002年,50,69.17,72.50,88.78,66.67,51.40,45.47,39.27,33.23,27.83,35,-,
綠竹筍(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
烏殼;綠竹筍(元/公斤),2002年,47.50,50.83,34.67,36.67,26.67,18.67,17.42,20.17,17.83,15,22.44,35,
麻竹筍(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
桂竹筍(生筍)(元/公斤 ),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
轎篙筍(元/公斤),2002年,-,-,-,58.33,49.17,44.33,52.83,64.17,58.33,52.50,50,-,
白蘆筍(元/公斤),2002年,-,30,56.89,60,45.61,45.05,53.97,51.87,48.87,46.67,49.17,56.67,
綠蘆筍(元/公斤),2002年,-,-,-,42.67,16,17.33,40.33,43.33,24.33,20.33,21.33,-,
茭白筍(帶殼)(元/公斤),2002年,6.73,7.32,10.40,9.82,7.52,14.65,17.91,20.53,7.72,11.71,12.42,12.36,
大芥菜(鮮食)(元/公斤),2002年,12.76,10.19,9.31,9.52,8.70,-,-,-,-,-,11,8.64,
馬鈴薯(食用)(元/公斤),2002年,15.30,11.88,10.77,13.08,15.97,20.44,28.05,38.75,31.47,15.87,13.61,13.65,
青蔥(元/公斤),2002年,12.67,9.05,4.88,3.83,3.96,-,-,-,-,-,-,9.11,
洋蔥(內銷)(元/公斤),2002年,27.96,28.21,26.91,68.23,55.57,38.93,40.73,49.43,55.43,-,-,34.63,
青蒜(元/公斤),2002年,-,42.25,36.56,33.85,36.30,41.15,41.93,42.88,42.34,41.12,41.80,44.95,
蒜頭(蒜球)(元/公斤),2002年,20,18.83,18.33,16.78,14.67,15,15.33,15.11,21.89,13.67,13.78,13.11,
韭菜(元/公斤),2002年,85.33,77.33,70,63.33,62.83,65,87,75.67,67.67,66.33,61,61,
韭黃(元/公斤),2002年,19.36,19.17,17.67,12.74,12.09,14.58,19.43,17.45,11.90,14.31,14.50,20.68,
蕹菜(空心菜)(元/公斤),2002年,11.17,12.65,18.35,20.68,12.89,15.95,32.81,31.48,27.96,17.18,25.69,17.83,
芹菜(土芹菜)(元/公斤),2002年,2.62,3.29,4.80,8.31,8.07,7.71,16.86,19.21,15.39,7.47,5.69,12.85,
甘藍(元/公斤),2002年,10.90,16.02,20.58,26.47,21.09,30.04,47,44.50,24.55,18.32,20.84,29.34,
甘藍芽(元/公斤),2002年,11.75,11.03,10.04,12.37,9.12,13.48,23.09,20.69,12.49,13.60,12.84,16.10,
小白菜(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
青江白菜(元/公斤),2002年,4.71,4.96,7.41,11.24,5.56,9.65,14.39,11.77,6.47,6.95,8.26,10.22,
結球白菜(元/ 公斤),2002年,11.72,7.85,11.25,15.82,-,7.33,46.33,41.67,25,30.03,15.63,18.10,
菠菜(元/公斤),2002年,9.34,9.54,11.17,12.27,7.13,19.20,19.37,22.32,10.64,12.07,13.64,13.45,
芥藍(元/公斤),2002年,16.58,10,19.32,16.82,10.95,14.13,21.36,17.87,13.09,15.04,16.09,20.64,
莧菜(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
本島萵苣(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
茼萵(元/公斤),2002年,9.13,13.88,12.36,9.67,9.93,18.72,28.47,27.78,23.38,16.56,16.31,15.54,
花椰菜(白)(元/公斤),2002年,6.21,10.59,15.35,15.98,8.53,9,19.10,19.10,19.10,22.78,18.79,19.24,
青花苔(元/公斤),2002年,323.56,305.78,-,-,-,-,-,306.67,295.89,300.56,301.11,300,
金針菜  (乾)(元/公斤),2002年,11.64,14.77,12.63,9.65,8.32,15.88,13.46,9.87,9.26,10.45,15.43,16.58,
胡瓜(黑刺)(元/公斤),2002年,22.95,28.26,16.76,18.56,17.46,28.47,21.96,19.57,14.35,17.75,23.69,21.86,
花胡瓜(元/公斤),2002年,3.58,3.95,3.76,4.15,3.06,3.46,6.37,8.05,6.36,4.77,3.43,3.37,
冬瓜(元/公斤),2002年,28.55,31.08,25.67,19.91,11.35,18.17,21.12,24.47,16.54,19.10,19.83,23.82,
苦瓜(元/公斤),2002年,24.17,36.67,22,12,17.11,37,36.83,23.67,25.33,22.83,22.22,24.33,
絲瓜(菱角)(元/公斤),2002年,13.67,12.73,17.13,16.17,8.23,14.80,17.42,13.24,8.83,8.98,11.40,14.54,
絲瓜(元/公斤),2002年,6.78,7.74,10.79,9.93,5.14,8.57,9.43,7.83,5.49,5.99,7.74,10.60,
扁蒲(元/公斤),2002年,15.82,9.78,11.07,14.40,9.40,14.68,15.94,16.67,10.55,10.37,8.38,12.04,
茄子(元/公斤),2002年,13.57,5.48,6.50,7.19,10.18,22.32,24.90,25.92,29.81,24.34,18.10,18.87,
番茄(黑柿)(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
小蕃茄(聖女)(元/公斤),2002年,8.91,10.59,10,13.90,10.55,19.80,24.55,34.38,27.39,20.01,18.19,13.49,
甜椒(青椒)(元/公斤),2002年,-,-,13.33,11.92,8.50,7.75,11.47,9,-,9.67,9,-,
西瓜(大粒)(元/公斤),2002年,-,-,11,10.17,9.83,8.63,11.56,9.64,6.86,8.22,6.50,-,
西瓜(小粒)(元/公斤),2002年,-,-,-,14.33,9.83,9.17,-,-,-,-,-,-,
西瓜(無子)(元/公斤),2002年,23.58,16.92,21.83,17.17,16.42,17.16,23.40,20.58,18.05,20.53,16.53,21.24,
洋香瓜(元/ 公斤),2002年,-,-,-,12.83,17.63,12.92,17.17,15.85,13.84,16.67,13.33,11.67,
香瓜(美濃瓜)(元/公斤),2002年,26.61,33.06,25.33,28.74,25.82,40.42,47.83,47.72,38.33,31.43,37.23,36.26,
敏豆(四季豆)(元/公斤),2002年,22.89,32.67,34.22,30.30,14.91,21.36,27.40,22.45,17.12,17.89,23.44,29.44,
豇豆(元/公斤),2002年,16.03,29.53,38.48,55.75,32.75,-,-,-,-,-,57.75,54.31,
豌豆(元/公斤),2002年,16.63,25.39,25.78,38.50,33.75,-,-,-,-,-,57.40,51.67,
甜豌豆(元/公斤),2002年,15.42,13.46,15.35,15.35,13.17,13.48,13.73,13.63,13.63,13.54,9.11,14.09,
毛豆(帶莢)(元/公斤),2002年,27.42,14.81,12.83,13.55,9.11,17.17,13.72,41.67,44.33,41.17,39.22,24.89,
辣椒(元/公斤),2002年,10,7.53,5.14,7.40,7.62,9.64,10.32,9.71,8.13,8,14.04,11.25,
甜玉米(鮮食)(元/公斤),2002年,48.33,-,-,-,-,-,-,37.67,28.33,25,42,51,
蓮藕(元/公斤),2002年,86.11,90.28,71.11,64.44,-,-,-,-,-,-,107.50,116.11,
草莓(元/公斤),2002年,65,57.92,56.92,70,94.33,73.33,86.67,100,99.17,91.67,86.67,61.08,
洋菇(元/公斤),2002年,667.50,731.25,709.25,682.72,637.50,607.50,600,606.25,612.50,622.92,638.75,642.08,
香菇(太空包)乾(元/公斤),2002年,53.89,69.33,66.55,64.39,58.67,47.04,44.78,46.22,49.92,53.22,52.11,53,
香菇(太空包)鮮(元/公斤),2002年,34.50,34.67,28.17,21.33,22.67,29,27,29.33,32.17,32.33,32.83,31.17,
木耳(黑色溼)(元/公斤),2002年,48.50,50,48.67,42.33,43.33,48,48,49.33,48.67,42.33,44.33,42.67,
鮑魚菇(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
杏鮑菇(元/公斤),2002年,17.92,16,16.83,12,-,-,-,-,27,19.92,13.92,13,
葡萄柚(元/公斤),2002年,-,-,47.50,24,27.31,19.15,14.09,-,-,-,-,-,
芒果(在來)(元/公斤),2002年,-,-,-,59.17,34.57,24.76,28.36,55.58,-,-,-,-,
芒果(愛文)(元/公斤),2002年,-,-,-,36.33,29.37,14.45,16.09,22.06,20,-,-,-,
芒果(金煌)(元/公斤),2002年,16.95,14.13,14.05,8,3.23,8.07,7.30,6.86,7.15,8.86,14.68,13.33,
番石榴(泰國)(元/公斤),2002年,14.29,10.27,10.92,8.79,6.10,8.88,8.56,7.31,8.89,10.44,16.52,12.53,
番石榴(世紀)(元/公斤),2002年,24.76,17.81,19.71,10.37,8.31,11.70,10.52,11.53,14.71,14.71,21.18,18.35,
番石榴(珍珠)(元/公斤),2002年,50.13,53.96,49.70,33.90,24.87,34.72,-,-,-,-,50.83,43.46,
蓮霧(元/公斤),2002年,150,142.67,134.90,118.33,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2002年,-,-,-,-,45,32.06,24.48,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2002年,-,-,-,108.33,127.78,104.33,83.33,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2002年,-,-,-,-,-,-,34.47,24.31,32.97,57,-,-,
龍眼(大粒)(元/公斤),2002年,50.24,66.41,72.50,-,-,-,-,-,-,23.33,26.33,50.60,
棗子(元/公斤),2002年,48.06,53.42,59.17,-,-,-,61.67,56.56,46.42,40.83,35.89,37.34,
番荔枝(元/公斤),2002年,23.53,22.35,17.50,16.11,15.20,-,17.83,20.95,16.73,15.20,16.01,17.23,
楊桃(馬來種)(元/公斤),2002年,-,-,-,-,-,67.47,32.75,31.13,34.44,47.67,46.67,37.57,
酪梨(元/公斤),2002年,5.23,6.32,6.72,5.77,5.54,6.19,7.01,5.30,4.95,4.49,4.06,3.57,
椰子(元/公斤),2002年,0.60,1.12,1.33,1.67,2.22,3.14,1.81,1.02,0.55,0.47,0.48,0.53,
檳榔(元/ 粒),2002年,23.48,19.79,20.21,20.46,16.68,13.07,13.96,15.19,13.36,11.51,15.95,15.30,
木瓜(元/公斤),2002年,-,-,-,-,-,38.33,35,30.33,22.83,18.67,16,-,
百香果(元/公斤),2002年,20.50,20.71,18.85,12.79,10.85,11.23,8.07,9.40,7,7.26,8.94,6.24,
香蕉(內銷)(元/公斤),2002年,13,14.17,17.67,22.43,21.12,12.18,14.03,18,16.53,12.83,12.69,9.82,
鳳梨(開英)(元/公斤),2002年,-,-,18.67,19.17,16.33,9.33,-,-,-,-,-,-,
鳳梨(17號)(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
紅龍果(元/公斤),2002年,28.29,31.06,23.49,-,-,-,-,-,40,26.64,19.64,19.28,
椪柑(元/公斤),2002年,27.12,29.24,27.26,25.83,-,-,-,-,-,-,-,26,
桶柑(元/公斤),2002年,-,-,-,-,-,-,-,12,24.02,21.42,-,-,
文旦(元/公斤),2002年,18.83,18.48,16.71,12.63,-,-,-,-,20.75,14.58,11.92,11.81,
柳橙(元/公斤),2002年,26.47,36.60,32.27,37.50,36.22,19.83,12.83,8.33,9.89,12.67,22.25,22.50,
檸檬(元/公斤),2002年,17.17,14.31,-,-,-,-,-,-,-,-,-,-,
海梨柑(元/公斤),2002年,61.67,59.49,54.55,41.93,-,-,-,-,-,-,-,36,
茂谷柑(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
金柑(元/公斤),2002年,-,-,62.50,52.12,35.12,29.50,-,-,-,-,-,-,
李(玉李)(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
李(紅肉)(元/公斤),2002年,-,-,-,-,45.45,41.61,37,-,-,-,-,-,
鶯歌桃(元/公斤),2002年,-,-,-,58.97,34.99,47.60,-,-,-,-,-,-,
甜桃(元/公斤),2002年,-,-,-,-,-,55,97.50,109.33,-,-,-,-,
水蜜桃(元/公斤),2002年,-,-,-,-,-,-,-,-,20,18.83,13,-,
牛心柿(元/公斤),2002年,-,-,-,-,-,-,-,-,-,88.06,97.83,102.93,
甜柿(元/公斤),2002年,-,-,-,-,-,-,-,24.95,16.40,20.37,-,-,
紅柿(軟柿)(元/公斤),2002年,-,-,38.97,21.75,21.25,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2002年,-,-,-,-,-,-,15.33,20.18,14.38,19.27,-,-,
橫山梨(元/公斤),2002年,-,-,-,-,104.37,78.98,52.45,54.84,46.17,35,-,-,
新世紀梨(元/公斤),2002年,-,-,-,-,100.55,60.07,56.96,45,-,-,-,-,
豐水梨(元/公斤),2002年,-,-,-,-,-,-,76.67,100,-,-,-,-,
幸水梨(元/公斤),2002年,-,-,-,-,-,80,48.38,49.25,52.44,41.92,-,-,
新興梨(元/公斤),2002年,74.78,69.41,72.50,81,80,61.55,59.32,58.83,55.37,63.58,57.12,46.51,
巨峰葡萄(元/公斤),2002年,51.48,57.31,57.53,63.21,59.44,50.13,49.73,50.98,49.55,36.64,35.60,36.69,
落花生(帶殼)(元/公斤),2002年,54.96,55.87,57.37,-,-,-,-,-,-,-,-,47.56,
紅豆(中等)(元/公斤),2002年,76,75.67,76.33,81.67,86,85.67,88,82.67,86,85.33,86,-,
綠豆(省產)(元/公斤),2002年,8.83,7.88,7.32,8.13,8.46,7.04,6.93,10.73,13.45,11.69,10.25,9.02,
甘藷(元/公斤),2002年,90,90,169.33,200.07,170.78,131.86,104.67,111.33,129.69,155.07,195.57,180.73,
烏龍茶菁(手)(元/公斤),2002年,-,-,110,76.39,42.22,30.16,40,40,28.33,71.67,82.03,-,
烏龍茶菁(機)(元/公斤),2002年,90,90,116.83,152.29,118.51,94.95,87.50,86.67,102.85,114.19,138.31,117.92,
金萱茶菁(手)(元/公斤),2002年,-,-,80,45.48,22.45,14.84,14.67,15.39,15.16,41.55,51.85,100,
金萱茶菁(機)(元/公斤),2002年,-,-,-,-,335,290.67,274,275,280.50,279.83,-,-,
蓮子(脫殼)(元/公斤),2002年,9.56,9.75,7.68,7.33,7.63,7.94,8.22,8.80,9.80,8.88,8.82,8.25,
紅甘蔗(元/公斤),2002年,151.25,134.67,123.67,126.17,139,138.17,139.44,139.67,139.89,130.17,151.43,143.76,
芝麻(黑省產)(元/公斤),2002年,9.74,10.04,7.14,6.56,6.16,5.73,6.34,6.06,4.15,3.55,4.93,7.01,
文心蘭(元/支),2002年,3.53,2.69,1.80,1.82,2.40,3.18,4.91,4.93,3.25,3.01,3.67,3.09,
菊花(大菊)(元/支),2002年,4.99,6.19,3.31,2.23,2.26,2.82,2.37,3.12,3.02,3.27,3.19,3.71,
玫瑰(黛安娜)(元/支),2002年,16.73,14.80,9.84,8.63,8.39,8.30,7.97,9.43,7.21,8.12,8.44,8.63,
火鶴(紅)(元/支),2002年,3.83,3.12,1.52,2.60,2.80,3.65,3.05,3.50,2.63,3.02,2.92,2.75,
非洲菊(元/支),2002年,53.89,36.44,24.33,42.78,30.45,48.08,51.72,62.36,45.67,43.89,38.44,47,
滿天星(元/ 把),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
卡斯比亞(元/把),2002年,3.72,3,1.90,1.38,2.05,1.77,1.97,2.28,2.05,2.17,2.11,2.37,
香石竹(康乃馨)大輪(元/支),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)中康(元/支),2002年,10.08,7.83,6.50,4.56,6.79,6.27,4.86,5.49,4.61,6.94,7.67,8.17,
天堂鳥(元/支),2002年,4.96,4.67,2.54,3.35,3.33,3,3.83,4.08,3.17,3.12,2.58,3.53,
夜來香(元/支),2002年,3.92,3.73,2.23,4.04,4.62,5.47,4.81,5.70,4.98,4.41,2.97,3.46,
唐菖蒲(劍蘭)(元/支),2002年,-,10.67,6.50,14.33,18.33,18.17,15,25,29,30.67,33,28.67,
葵百合(紅)(元/支),2002年,8.22,6.03,4.63,8,6.67,8.33,10,6.25,-,11.67,8.20,13,
姬百合(橙)(元/支),2002年,34.93,21.47,18.15,20.22,41.67,41.67,41.17,38.17,43.33,43.17,33.06,26.50,
香水百合(白)(元/支),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
香水百合(黃)(元/支),2002年,-,-,-,-,-,-,-,-,-,-,-,-,
聖誕紅(元/盆),2001年,6.33,4.42,3.89,6,5.22,7.33,9,15.11,18.67,28,19,3.11,
蘿蔔(元/公斤),2001年,13.19,8.23,7.22,9.78,11.67,11.33,-,-,-,-,-,13,
胡蘿蔔(元/公斤),2001年,50,35,10,13.33,-,-,-,-,-,-,-,-,
牛蒡(元/公斤),2001年,34.50,-,-,-,49.71,34.24,26.30,23.13,20.13,17.41,18.99,26,
生薑(嫩薑)(元/公斤),2001年,-,-,-,-,-,-,-,-,-,-,-,-,
生薑(老薑粉薑)(元/公斤),2001年,27.67,25.78,20,17.33,15,11.33,12,18.67,19.11,19.78,21.33,21.83,
芋頭(元/公斤),2001年,-,90,88.33,99,75.78,60.50,57.87,56.10,46.67,44.39,41.67,48.33,
綠竹筍(元/公斤),2001年,-,-,-,-,-,-,-,-,-,-,-,-,
烏殼;綠竹筍(元/公斤),2001年,50.33,43.33,39.83,36.50,21.50,21.08,16.33,20.67,24.58,27.08,29.47,38.67,
麻竹筍(元/公斤),2001年,-,-,-,-,-,-,-,-,-,-,-,-,
桂竹筍(生筍)(元/公斤 ),2001年,-,-,-,-,-,-,-,-,-,-,-,-,
轎篙筍(元/公斤),2001年,-,-,-,-,48.33,60,66.67,76.67,65,75,-,-,
白蘆筍(元/公斤),2001年,-,-,55,55.89,49.83,54.25,59.58,60.42,55.14,66.67,67.50,43.33,
綠蘆筍(元/公斤),2001年,-,43.33,46.67,40,30.33,30.67,42.67,38.67,30.67,34.30,35,40,
茭白筍(帶殼)(元/公斤),2001年,8.34,6.52,6.58,11,7.70,11.96,13.22,21.60,25.33,31.97,12.64,6.30,
大芥菜(鮮食)(元/公斤),2001年,13.08,12.77,11.28,12.65,10.30,-,-,-,-,-,-,16.43,
馬鈴薯(食用)(元/公斤),2001年,36.70,26.07,18.54,11.78,12.26,16.41,32.44,47.76,63.92,129.83,44.06,18.57,
青蔥(元/公斤),2001年,12.45,11.54,10.50,11.02,14.17,-,-,-,-,-,-,-,
洋蔥(內銷)(元/公斤),2001年,49.58,22.98,24.28,32.85,24.90,28.63,48.93,55.43,67.87,-,-,35.07,
青蒜(元/公斤),2001年,-,28.53,26.69,24.42,20.56,20.53,20.85,22.51,24.25,33.44,39.85,-,
蒜頭(蒜球)(元/公斤),2001年,36,13.44,13.78,13.89,12.89,14.89,15.67,14.55,29.78,38,31.67,21.22,
韭菜(元/公斤),2001年,62.50,82.33,60,65.67,66.67,69.33,73.33,77,86,125,93.67,92.50,
韭黃(元/公斤),2001年,20.51,27.40,15.60,16.21,12.39,15.35,14.94,18.04,27.45,30.14,14.67,13.86,
蕹菜(空心菜)(元/公斤),2001年,21.60,13.43,11.05,13.15,10.27,25.90,36.94,40.30,49.24,48.56,25.21,14.68,
芹菜(土芹菜)(元/公斤),2001年,7.15,4.22,3,3.10,5.49,9.20,11.28,17.01,20.87,23.21,14.89,3.60,
甘藍(元/公斤),2001年,19.94,9.78,9.11,14.33,17.09,31.08,32.19,34.88,46.74,52.34,31.17,11.29,
甘藍芽(元/公斤),2001年,10.67,8.80,6.17,14.48,8.99,14.55,17.19,23.09,45.11,42.28,11.97,8.20,
小白菜(元/公斤),2001年,-,-,-,-,-,-,-,-,-,-,-,-,
青江白菜(元/公斤),2001年,5.45,3.62,3.69,7.51,7.08,7.40,8.32,13.39,17.17,27.62,7,3.42,
結球白菜(元/ 公斤),2001年,12.46,8.30,9.57,13.32,-,16.33,35,34.33,39.33,51.33,22.66,10.45,
菠菜(元/公斤),2001年,14.65,8.74,6.43,12.54,8.97,15.36,16.24,24.58,32.94,35.50,11.23,8.84,
芥藍(元/公斤),2001年,20.55,15,14.65,18.35,12.85,16.55,16.05,19.65,40.82,43.81,18.52,12.32,
莧菜(元/公斤),2001年,-,-,-,-,-,-,-,-,-,-,-,-,
本島萵苣(元/公斤),2001年,-,-,-,-,-,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2001年,-,-,-,-,-,-,-,-,-,-,-,-,
茼萵(元/公斤),2001年,9.68,5.81,5.76,11.63,12.43,24.01,22.75,27.63,34.18,48.31,36.28,9.01,
花椰菜(白)(元/公斤),2001年,11.93,7.31,7.93,13.19,14.05,-,-,-,-,-,22.42,9.14,
青花苔(元/公斤),2001年,-,-,-,-,-,-,-,462.89,328.67,286,-,-,
金針菜  (乾)(元/公斤),2001年,9.80,9.13,9.42,11.92,8.52,12.57,12.06,13.36,16.17,29.84,13.63,6.08,
胡瓜(黑刺)(元/公斤),2001年,17.98,22.07,14.87,23.94,16.46,25.04,18.29,23.06,29.10,43.64,14.86,13.92,
花胡瓜(元/公斤),2001年,5.70,4.50,3.75,3.98,3.41,4.11,8.46,7.23,7.27,6.05,7.69,5.50,
冬瓜(元/公斤),2001年,18.06,26.24,27.87,27.26,22.88,26.51,20.53,31.72,32.46,53.10,27.06,20.66,
苦瓜(元/公斤),2001年,21.67,-,-,-,31,31.50,31.83,30.50,42.17,40,29.50,18,
絲瓜(菱角)(元/公斤),2001年,9.92,9.73,9.67,12.88,9.06,12.63,13.31,14.31,17.75,27.83,16.68,11.76,
絲瓜(元/公斤),2001年,5.98,6.77,5.30,7.97,5.74,9.04,8.32,13.24,19.41,29.11,11.74,5.71,
扁蒲(元/公斤),2001年,7.47,13.69,11.22,14.03,13.55,17.41,14.39,25,26.31,37.49,17.52,11.11,
茄子(元/公斤),2001年,22.83,17.78,17.24,17.74,13.08,17.94,23.14,31.58,38.53,40.97,42.08,19.56,
番茄(黑柿)(元/公斤),2001年,-,-,-,-,-,-,-,-,-,-,-,-,
小蕃茄(聖女)(元/公斤),2001年,18,9.22,8.72,12.08,16.44,34.87,54.17,30.72,37.17,58.81,33.01,8.49,
甜椒(青椒)(元/公斤),2001年,-,-,-,10.67,10.57,11.58,12.31,-,-,-,-,-,
西瓜(大粒)(元/公斤),2001年,-,-,17,8.67,7.55,11.42,12.78,17.41,15.10,14.67,13.67,-,
西瓜(小粒)(元/公斤),2001年,-,-,-,11.83,10.28,14.06,13,-,-,-,-,-,
西瓜(無子)(元/公斤),2001年,24.78,18.78,20.78,21.78,25.56,20.22,23.17,27.36,34.33,37.89,33.69,26.50,
洋香瓜(元/ 公斤),2001年,-,-,-,20.33,19.92,21.73,21.63,29.06,43.67,52,-,-,
